206	Adriana Georgieva	Bulgaria	91.32	0	9.65	0	2.99	8.1	112.06	 
207	Ng Man Hei	Hong Kong, China	23.91	0	19.81	0	58.58	8.1	110.4	
Honourable Mention
208	Mirha Javaid	Pakistan	44.79	0	1.82	0	55.22	8.1	109.93	
Honourable Mention
209	Rashed Ahmed Aldhanhani	United Arab Emirates	81.2	0	9.25	0	11.19	8.1	109.74	 
210	Alan Yin	Canada	86.18	0	9.36	0	5.22	8.1	108.86	 
211	AHOUANSOU Dona Christ Hansmaut	Benin	66.66	0	5.73	0	28.36	8.1	108.85	 
212	Nurtas Yermyek	Mongolia	65.21	21.43	13.09	0	8.96	0.08	108.77	 
213	Rukundo Promesse	Rwanda	82.65	0	12.65	0	5.22	8.1	108.62	 
214	ALI	Mongolia	58.61	20.82	14.85	0	5.6	8.1	107.98	 
215	Seryozha Nazaryan	Armenia	66.88	0	7.2	0	25	8.1	107.18	 
216	Haohui Liu	Macao, China	76.72	0	9.3	0	11.94	8.1	106.06	 
217	Wang Suilun	Macao, China	65.02	0	3.93	0	28.36	8.1	105.41	 
218	Chenru Hu	Australia	58.86	0	9.28	0	36.94	0.08	105.16	 
219	Abrar Shahid	Bangladesh	93.5	0	0	0	2.99	8.1	104.59	 
220	Savyasachi Singh	India	72.9	0	0	27.52	2.99	0	103.41	 
221	Diego Herrera Rivera	MéXico	60.57	0	1.82	0	31.72	8.1	102.21	 
222	Iskhak Tazhibaev	Kyrgyzstan	58.83	0	10.7	0	22.76	8.1	100.39	 
223	Mizero Lucky Gall	Rwanda	79.09	0	1.72	0	19.38	0.08	100.27	 
224	Damyan Dochev	Bulgaria	61.1	20.82	0.33	0	2.99	14.69	99.93	 
225	Daniel Pocohuanca	Peru	68.17	0	3.69	0	19.03	8.1	98.99	 
226	Mariam Nasir	Pakistan	29.62	33.01	7.7	0	19.76	8.1	98.19	 
227	Alier Sánchez Y Sánchez	MéXico	22.08	0	0	0	9.7	65.94	97.72	
Honourable Mention
228	Aras Demi̇R Şahi̇N	Turkiye	16.15	15.54	5.71	0	43.64	13.55	94.59	 
229	Bater Habtoosh	Jordan	63.88	0	0	0	22.01	8.1	93.99	 
230	Qianhao Han	Canada	46.06	0	3.81	0	43.64	0.08	93.59	 
231	Annie Karheiding	Sweden	48.58	37.63	3.95	0	2.99	0.08	93.23	 
232	Boyan Vangelov	Bulgaria	9.5	0	16.75	0	58.58	8.1	92.93	
Honourable Mention
233	Pablo Andrés González Romero	Colombia	57.26	0	5.78	0	19.38	8.1	90.52	 
234	M’PO YETI Déreck	Benin	56.37	0	13.42	0	11.57	8.1	89.46	 
235	Fadi Amiche	Tunisia	56.59	19.89	5.51	0	7.09	0.08	89.16	 
236	Juan José Gómez Ramírez	Colombia	57.76	0	15.11	0	7.46	8.1	88.43	 
237	Fabricio Jeffrey Yoel Aguilar Machaca	Peru	0	0	0	0	80.22	8.1	88.32	
Honourable Mention
238	Oscar Yan	Australia	57.82	7.79	2.22	0	11.19	8.1	87.12	 
239	Maxim Pavlenko	Sweden	56.5	0	22.15	0	0	8.1	86.75	 
240	Eszter Demjén	Hungary	36.62	8.19	9.26	0	22.76	8.1	84.93	 
241	Saba Machavariani	Georgia	58.36	0	4.04	0	13.81	8.1	84.31	 
242	Dulguun Gantulga	Mongolia	62.4	0	1.86	0	11.19	8.1	83.55	 
